"","N","ps_size","pdf_size","jpeg_size","png_size"
"1",100,9138,5620,547357,456435
"2",200,11539,6504,579211,509777
"3",500,18746,8953,673725,666523
"4",750,24743,10988,776078,801283
"5",1000,30762,12992,865470,919472
"6",1200,35561,14526,944487,1022997
"7",1800,49985,19262,1156672,1289293
"8",3000,78833,28587,1515643,1731540
"9",5000,126868,44054,2131957,2366763
"10",8000,198928,67136,2924279,3106630
"11",10000,246986,82671,3397534,3488304
"12",12500,307036,101888,3921468,3916145
"13",15000,367164,121431,4373229,4259621
"14",18000,439253,144474,4851199,4633123
"15",22000,535307,175419,5387940,5046600
"16",23500,571382,186904,5543255,5167919
"17",25000,607290,198598,5699312,5287747
"18",50000,1208179,391905,6633445,6155321
"19",80000,1928813,623431,5894819,5701453
"20",100100,2411469,778878,5072244,5104263
"21",120100,2892305,933692,4246992,4450956
"22",135000,3249935,1048781,3691983,4003263
"23",150000,3610835,1164650,3202812,3575073
"24",175000,4211284,1357838,2483274,2918940
"25",195010,4692006,1512347,2029315,2453555
"26",200100,4814238,1551723,1945634,2375513
"27",250000,6013449,1937880,1217672,1539537
"28",300100,7217515,2325040,840212,1041992
"29",350000,8415930,2710527,657207,780736
"30",400100,9619852,3097323,565616,642207
"31",450000,10818787,3483543,521101,575990
"32",500100,12022182,3870038,499967,542687
